id,title,option_1,option_2,option_3,option_4,answer,section_id
406,What day comes three days after the day which comes two days after the day which comes immediately after the day which comes two days after Monday?,SUNDAY,WEDNESDAY,TUESDAY,THURSDAY,TUESDAY,2
407,"A man has 53 socks in his drawer: 21 identical blue, 15 identical black and 17 identical red. The lights are fused and he is completely in the dark. How many socks must he take out to make 100 per cent certain he has a pair of black socks?",20 Socks,30 Socks,40 Socks,10 Socks,40 Socks,2
408,Gordon is twice as old as Tony was when Gordon was as old as Tony is now. The combined age of Gordon and Tony is 112 years. How old are Gordon and Tony now?,64 and 48,72 and 48,64 and 50,64 and 20,64 and 48,2
409,A bag of potatoes weighs 50 lbs divided by half of its weight. How much does the bag of potatoes weigh?,20 lb,10 lb,30 lb,15 lb,10 lb,2
410,How many lines can you see below?,10,11,12,13,12,2
411,What letter comes three to the right of the letter that comes immediately to the left of the letter that comes three to the right of the letter immediately to the left of the letter B? : A B C D E F G H,A,B,F,E,F,2
412,"Using the four letters below only, create a seven letter word: UMNI",,,,,MINIMUM,2
413,Which two letters come next : A Z B Y D W G T ? ?,K P,P R,R U,U Z,K P,2
414,"Using the five letters below only, create a nine-letter word: LOPER",,,,,PROPELLER,2
415,"Which four letter word, when placed in the brackets, will complete a word on the left and start another word on the right?: RAM (****) RIDGE",PORT,PART,RAPT,RARE,PART,2
416,What letter is two letters to the left of the letter immediately to the right of the letter three letters to the right of the letter A? A B C D E F G H ,A,B,C,D,C,2
417,"Which two words are closest in meaning? conclave, medley, theme, conglomeration, dissertation, augury","Dissertion, Augury","Conclave, Medley","Theme, Dissertion","Medley, Conglomeration","Medley, Conglomeration",2
418,"Which of the following words is the odd one out? Chocolate, Lemonade, Jelly, Biscuit",Chocolate,Jelly,Lemonade,Biscuit,Lemonade,2
419,"In a game of whist, GEORGE partnered MARY, while TED had to select a partner from ANN, EDNA, JOAN or ANGELA. Whom did he choose?",EDNA,JOAN,ANN,ANGELA,ANN,2
420,Which is the odd one out?,Heptagon,Cube,Hexagon,Triangle,Cube,2
421,"Which word in brackets is closest in meaning to the word in capitals?
BRUNT (dull, edifice, impact, tawny, nonsense)",Dull,Edifice,Impact,Tawny,Impact,2
422,"Complete the five words below in such a way that the two letters that end the first word also start the second word, and the two letters that end the second word also start the third word etc. The same two letters that end the fifth word also start the first word, to complete the cycle: ** IV **",SHIVER,QUIVER,SLIVER,ROIVER,SHIVER,2
423,"Complete the five words below in such a way that the two letters that end the first word also start the second word, and the two letters that end the second word also start the third word etc. The same two letters that end the fifth word also start the first word, to complete the cycle: ** OT **",EXOTIC,EMOTIC,EROTIC,EPOTIC,EROTIC,2
424,"Complete the five words below in such a way that the two letters that end the first word also start the second word, and the two letters that end the second word also start the third word etc. The same two letters that end the fifth word also start the first word, to complete the cycle: ** IC **",CIRCLE,SUBICLE,CUBICLE,ICICLE,ICICLE,2
425,"Complete the five words below in such a way that the two letters that end the first word also start the second word, and the two letters that end the second word also start the third word etc. The same two letters that end the fifth word also start the first word, to complete the cycle: ** NG **",BANGLE,LENGTH,RANGLE,TANGLE,LENGTH,2
426,"Complete the five words below in such a way that the two letters that end the first word also start the second word, and the two letters that end the second word also start the third word etc. The same two letters that end the fifth word also start the first word, to complete the cycle: ** RA **",THRASH,PIRACY,ABRASE,BORACE,THRASH,2
427,"Starting from a point, Raju walked 12 m North, he turned right and walked 10 km, he again turned right and walked 12 m, then he turned left and walked 5 m. How far is he now and in which direction from the starting point?",27 m towards East,5 m towards East,10 m towards West,15 m towards East,15 m towards East,2
428,A man walks 20 m towards South. Then turning to his right he walks 30 m. Then turning to his left he walks 20 m. Again Turning to his left he walks 30 m. How far is he from his starting position?,30 m,20 m,60 m,None of the above,None of the above,2
429,"A man goes towards East 5 km, then he takes a turn to South-West and goes 5 km. He again takes a turn towards North-West and goes 5 km with respect to the point from where he started, where is he now?",At the starting point,In the West,In the North-East,In the South-East,At the starting point,2
430,"Mohan started from point `A' and proceeded 7 km straight towards East, then he turned left and proceeded straight for a distance of 10 km. He then turned left again and proceeded straight for a distance of 6 km, and then turned left again and proceeded straight for another 10 km. In which direction is Mohan from his starting point?",West,East,North-East,South,East,2
431,"Rama travels a distance of 5 km from a place `A' towards North, turns left and walks 3 km, again turns right and walks 2 km. Finally turns right and walks 3 km to reach the place B. What is the distance between A and B?",13 km,2 km,7 km,None of the above,7 km,2
432,"Village Chimur is 20 km to the North of village Rewa. Village Rahate is 18 km to the East of village Rewa. Village Angne is 12 km to the West of Chimur. If Sanjay starts from village Rahate and goes to village Angne, in which direction is he from his starting point?",North,North-West,South,East,North-West,2
433,"Ravi travelled 4 km straight towards South. He turned left and travelled 6 km straight, then turned right and travelled 4 km straight. How far is he from the starting point?",8 km,10 km,12 km,18 km,10 km,2
434,"Rakesh is standing at a point. He walks 20 m towards the East and further 10 m towards the South, then he walks 35 m towards the West and further 5 m towards the North, then he walks 15 m towards the East. What is the straight distance in metres between his starting point and the point where he reached last?",0,5,10,15,5,2
435,"A rat runs 20 m towards East and turns to right, runs 10 m and turns to right run 9 m and again turns to left runs 5 m and then turns to left, runs 12 m and finally turns to left and runs 6 m. Now, which direction is the rat facing?",North,West,East,South,North,2
436,"A policeman left his police post and proceeded South 4 km on hearing a loud sound from point A. On reaching the place, he heard another sound and proceeded 4 km to his left to the point B. From B he proceeded left to reach another place C 4 km away. In which direction, he has to go to reach his police post?",East,North,South,West,West,2
437,"Ms. A goes for her morning walk at 6 O'clock towards sun for 2 km, then she turns to her right and walks 3 km. She again turns to her left and walks 2 km, finally she turns to her left to walk another 6 km. In which direction is she moving and at what distance from the last turn, she is standing?","6 km, East","6 km, West","6 km, North","6 km, South","6 km, North",2
438,"Starting from a point 'S', Mahesh walked 25 m towards South. He turned to his left and walked 50 m. He then again turned to his left and walked 25 m. He again turned to his left and walked 60 m and reached a point 'T'. How far Mahesh is from Point 'S' and in which direction?","10 m, West","25 m, North","10 m, East","25 m, West","10 m, West",2
439,"From point P, Akshay starts walking towards East. After walking 30 m, he turns to his right and walks 10 m. He then turns to his right and walks for 30 m. He again turns to his right and walks 30 m. How far is he from point P and in which direction?",Point P itself,"10 m, North","20 m, West","20 m, North","20 m, North",2
440,"The town of Paranda is located on Gree lake. The town of Akram is West of Paranda. Tokhada is East of Akram but West of Paranda. Kokran is East of Bopri but West of Tokhada and Akram. If they are all in the same district, which town is the farthest West?",Paranda,Kokran,Bopri,Tokhada,Bopri,2
441,"You are on your way to visit your Grandma, who lives at the end of the valley. It's her birthday, and you want to give her the cakes you've made.

Between your house and her house, you have to cross 7 bridges, and as it goes in the land of make believe, there is a troll under every bridge! Each troll, quite rightly, insists that you pay a troll toll. Before you can cross their bridge, you have to give them half of the cakes you are carrying, but as they are kind trolls, they each give you back a single cake.

How many cakes do you have to leave home with to make sure that you arrive at Grandma's with exactly 2 cakes? 
",1,2,3,4,2,2
442,"I have 100 coins in my wallet.

What is the minimum number of coin(s), i would be required in order to make sure each coin touched exactly three other coins. ",10,5,7,4,4,2
443,Two towns are exactly 100 km apart. Rakesh leaves City A driving at 30 km/hr and Harish leaves City B a half an hour later driving 60 km/hr. Who will be closer to City A when they meet? ,Harish,Both would be the same distance from City A.,Rakesh,Neither,Both would be the same distance from City A.,2
444,"Sachin Tendulkar bough a red ferrari with a strange 5 digit numbered plate.The water image of the number is 78633 more than my car number.All the digits of sachin's car number are distinct.

What is the original number on sachin's number plate? ",10869,10968,10698,10897,10968,2
445,"A system error causes the change of Sumit net banking password. To sort this out, he calls the customer care. The following is the conversation he has with the executive:

Sumit: My password is changed.
Custom Care Executive: We have kept your password distinct this time. It has 8 letters out of which, 3 letters are same as previous.
Sumit: Okay, thanks.

Can you determine the old as well as the new password of Sumit net banking account after reading the conversation carefully?","password, changed","changed, distinct","distinct,password","changed, password","changed, distinct",2
446,"It's been the first day of the school when a young girl was found raped and murdered. Police suspect four male teachers as on the killer and ask them what they were doing in the morning in time 8:00 am.

Wayne: I was reading the newspaper.
Terry: I was checking chemistry papers
Bridge: I had locked myself in my room as my wife left me.
Cole: I dropped my wife to her office.

Who is the killer?",Wayne,Terry,Bridge,Cole,Terry,2
447,"While trying to pull out a robbery, a criminal came across a password lock. He has the following information with him that can assist him in cracking the password. 

Can you help him out?

The password is a 5-digit number.
The 4th digit is 4 more than the 2nd one.
The 3rd digit is 3 less than the 2nd one.
The 1st digit is three times the 5th digit.
Three pairs of digits sum up to 11.",65292,64282,63171,62050,65292,2
448,"Pointing towards Vaman, Madhav said “I am the only son of his father’s one of the sons.” 

How Vaman is related to Madhav?",Nephew,Uncle,Either father or uncle,Father,Either father or uncle,2
449,"Pointing to a photograph, Vipul said, ""She is the daughter of my grandfather's only son.""

How is Vipul related to the girl in the photograph ?",Father,Brother,Uncle,Cousin,Brother,2
450,"Looking at a portrait of a man, Harsh said, ""His mother is the wife of my father's son. Brothers

and sisters I have none."" At whose portrait was Harsh looking ?",His son,His nephew,His uncle,His cousin,His son,2
451,"Pointing to a girl in the photograph, Amar said, ""Her mother`s brother is the only son of my mother's

father."" How is the girl`s mother related to Amar ?",Mother,Sister,Aunt,Grandmother,Aunt,2
452,A girl introduced a boy as the son of the daughter of the father of her uncle. The boy is girl`s,Brother,Son,Uncle,Son-in-law,Brother,2
453,"If X is the brother of the son of Y`s son, how is X related to Y ?",Son,Brother,Grandson,Cousin,Grandson,2
454,"Pointing to a women in a photograph a man says “She is the daughter-in-law of the mother of

my father’s only grand son”. How is he woman related to the man?",Wife,Mother,Daughter,Daughter-In-Law,Daughter,2
455,"Pointing to a man in a photograph a woman said, “His brother’s father is the woman related to

the man in the photograph?",Mother,Aunt,Sister,Daughter,Sister,2
456,"Pointing to a photograph, a woman says, ""This man`s son`s sister is my mother-in-law.""

How is the woman`s husband related to the man in the photograph ?",Grandson,Son,Nephew,Son-in-law,Grandson,2
457,"When Anuj saw Manish, he recalled, ""He is the son of the father of my daughter."" Who is Manish ?",Brother-in-law,Brother,Cousin,Uncle,Brother-in-law,2
458,Q’s mother is sister of P and daughter of M. S is daughter of P and sister of T. How is M Related to T?,Father,Grandfather,Either Grandmother or Grandfather,Grandmother,Either Grandmother or Grandfather,2
459,"Pointing of a man, Rohit said, “His son is my son’s uncle”. How the woman is related to the man?",Brother,Uncle,Father,Grand father,Father,2
460,"A man said to a woman, “your mother’s husband’s sister is my aunt”. How the woman is related
to the man?",Grand-daughter,Daughter,Sister,Aunt,Sister,2
461,"Statements: (i) All pens are books (ii) Some pencils are pens
Conclusions: 1. some books are pencils 2. Some pencils are books 3. All pens are pencils 4. None",1,2,3,4,2,2
462,"Statements: (i) All pens are books (ii) No pencils are books
Conclusion: 1. All books are pencils 2. All pencils are books 3. Some pencils are books 4. None",1,2,3,4,3,2
463,Statements: (i) No mat is pot (ii) All pots are bats Conclusion: 1. No mats are bats 2. No bats are mats 3. Some bats are mats 4. Some bats are not mats,1,2,3,4,4,2
464,"Statements: (i) Some tables are trees (ii) Some trees are flowers (iii) All flowers are jungles
Conclusion: 1. Some jungles are tables 2. Some trees are jungles 3. Some flowers are tables 4. All jungles are flowers",Only 2 follows,Only 1 and 2 follows,Only 3 follows,None of the above,Only 2 follows,2
465,"Statements: (i) All benches are cots (ii) No cot is lamp (iii) Some lamps are candles
Conclusions: 1.some cots are candles 2. Some candles are cots",If only conclusion 1 follows,If only conclusion 2 follows,If either conclusion 1 or 2 follows,If neither conclusion 1 nor 2 follows,If neither conclusion 1 nor 2 follows,2
466,"Statements: (i) Some pigs are dogs (ii) No cow is goat (iii) Some goats are nets
Conclusion: 1. some pigs are cows 2. Some nets are cows 3. Some nets are pigs 4. Some dogs are either pigs of nets",Only 1 follow,Only 2 follow,Only 1 and 2 follow,Only 2 and 4 follow,Only 2 follow,2
467,"( I ) 'A * B' means 'A is brother of B' 

( II ) 'A / B' means 'B is mother of A' 

( III ) 'A – B' means 'A is father of B' 

( IV ) 'A + B' means 'B is sister of A' 



Which of the following means L is daughter of H?",L + K / J – H,H – J * R + L,L – J * H / K,L + W * R / H,H – J * R + L,2
468,"( I ) 'A * B' means 'A is brother of B' 

( II ) 'A / B' means 'B is mother of A' 

( III ) 'A – B' means 'A is father of B' 

( IV ) 'A + B' means 'B is sister of A' 



How is S related to T in the Expression: T / P + S ?",Daughter,Sister,Niece,Aunt,Aunt,2
469,"( I ) 'A * B' means 'A is father of B' 

( II ) 'A – B' means 'A is sister of B' 

( III ) 'A + B' means 'A is mother of B' 

( IV ) 'A/B' means 'A is sister of B'


In the expression D + F * O / P, how is O related to D?",Grand daughter,Son,Grand son,Daughter,Grand son,2
470,"( I ) 'A * B' means 'A is father of B' 

( II ) 'A – B' means 'A is sister of B' 

( III ) 'A + B' means 'A is mother of B' 

( IV ) 'A/B' means 'A is sister of B'


IWhich of the following represents ‘ J is son of F ‘’ ?",J / R – T * F,J + R – T * F,J / M – N * F,None of the above,None of the above,2
471,Find the number of triangles in the given figure.,18,26,21,24,21,2
472,Find the number of triangles in the given figure.,4,5,6,7,5,2
473,Find the number of triangles in the given figure.,34,36,38,40,36,2
474,Find the number of triangles in the given figure.,25,27,33,38,27,2
475,"If PRIVATE is coded as 1234567 and RISK is coded as 2398, how is RIVETS coded?",232679,243769,234769,234976,234769,2
476,"In a certain code, SIKKIM is written as THLJJL, how is TRAINING written in that code ?",SBQHOHOF,UQBOHIOF,UBQHOHOI,UQBHOHOF,UQBHOHOF,2
477,"If A is substituted by 4, B by 3, C by 2, D by 4, E by 3, F by 2 and so on, then what will be total of the numerical values of the letters of the word SICK?",11,12,10,9,11,2
478,Four of the following five are alike in a certain way and hence form a group. Which one does not belong to the group?,52,70,48,68,70,2
479,"If U is denoted by 7, M by 2, I by 5, O by 1, K by 8 and J by 4, then what will be the numeric form of the word MOUJIK when written in the reverse order?",217458,845712,854712,857412,217458,2
480,"How many letters of the word FAINTS, will their order in the word and that when the letters are arranged in the alphabetical order, remain the same?",1,2,3,0,2,2
481,In a certain code GARNISH is written as RGAINHS. How will GENIOUS be written in that code?,NEGOISU,NGEOISU,NGESUOI,NEGSUOI,NGEOISU,2
482,How many such pairs of letters are there in the word MISPLACE each of which has as many letters between its two letters in the word as there are between them in the English alphabet?,0,1,2,3,2,2
483,In a certain code INKER is written as GLLGT and GLIDE is written as EJJFG. How will JINKS be written in that code?,GFOMU,HGMMU,HGOGH,HGOMU,HGOMU,2
484,If ‘AND’ is written as ‘EQF’ and ‘THE’ as ‘XKG’ then how will ‘COM’ be written?,HRO,GQO,GRO,GRN,GRO,2
485,Four of the following five are alike in a certain way based on the positions of their elements in the English alphabet and hence form a group. Which one does not belong to the group?,UQ,KG,SO,QL,QL,2
486,Which letters will replace the question mark?,PC,CP,DQ,QD,CP,2
487,Which letters will replace the question mark?,PS,PR,PT,LR,PT,2
488,Which letters will replace the question mark?,S,P,Q,R,R,2
489,Which letters will replace the question mark?,K,H,X,L,X,2
490,Which letters will replace the question mark?,RID,GOU,UGO,None of the above,UGO,2
491,"(i) A, B, C, D, E, F and G are playing cards sitting around a circular table

(ii) D is not neighbour of C or E.

(iii)A is neighbour of B and C.

(iv) G, who is second to the left of D, is the neighbour of E and F. 

Which of the following is correct?",B is between A and D,D is between F and G,E is to the immediate right of G,F is to the immediate left of G,B is between A and D,2
492,"(i) A, B, C, D, E, F and G are playing cards sitting around a circular table

(ii) D is not neighbour of C or E.

(iii)A is neighbour of B and C.

(iv) G, who is second to the left of D, is the neighbour of E and F. 

Which of the following will be D's position after E and D interchange their places?",BD,EC,AE,GF,GF,2
493,"(i) A, B, C, D, E, F and G are playing cards sitting around a circular table

(ii) D is not neighbour of C or E.

(iii)A is neighbour of B and C.

(iv) G, who is second to the left of D, is the neighbour of E and F. 

Which of the following will be D's position after E and D interchange their places?",Neighbour to G and C,To the immediate right of F,Neighbour of C and A,To the immediate left of C,Neighbour to G and C,2
494,"(i) A, B, C, D, E, F and G are playing cards sitting around a circular table

(ii) D is not neighbour of C or E.

(iii)A is neighbour of B and C.

(iv) G, who is second to the left of D, is the neighbour of E and F. 

Which of the following has the second person sitting between the first and third person?",DAB,BCA,GFD,GCE,GFD,2
495,"(i) A, B, C, D, E, F and G are playing cards sitting around a circular table

(ii) D is not neighbour of C or E.

(iii)A is neighbour of B and C.

(iv) G, who is second to the left of D, is the neighbour of E and F. 

Which of the following is wrong?",A is to the immediate right of B,B is to the immediate left of D,F is between G and D,E is between G and C,F is between G and D,2
496,"Seven friends Kiran, Mahesh, Rajesh, Abhi, Ganesh, Prasad and Parveen are sitting in a circle. Kiran, Mahesh, Rajesh, Abhi, Prasad and Parveen are sitting at equal distances from each other. Rajesh is sitting after two places right of Prasad, who is sitting one place right of Abhi. Kiran forms an angle of 90 degrees from Ganesh and an angle of 120 degrees from Mahesh. Mahesh is just opposite Parveen and is sitting on the left of Ganesh. 

Who is the only person sitting between Rajesh and Mahesh ?",Prasad,Abhi,Ganesh,Kiran,Ganesh,2
497,"Seven friends Kiran, Mahesh, Rajesh, Abhi, Ganesh, Prasad and Parveen are sitting in a circle. Kiran, Mahesh, Rajesh, Abhi, Prasad and Parveen are sitting at equal distances from each other. Rajesh is sitting after two places right of Prasad, who is sitting one place right of Abhi. Kiran forms an angle of 90 degrees from Ganesh and an angle of 120 degrees from Mahesh. Mahesh is just opposite Parveen and is sitting on the left of Ganesh. 

Ganesh is not sitting at equal distance from?",Mahesh and Prasad,Abhi and Kiran,Rajesh and Prasad,All of the Above,All of the Above,2
498,"Seven friends Kiran, Mahesh, Rajesh, Abhi, Ganesh, Prasad and Parveen are sitting in a circle. Kiran, Mahesh, Rajesh, Abhi, Prasad and Parveen are sitting at equal distances from each other. Rajesh is sitting after two places right of Prasad, who is sitting one place right of Abhi. Kiran forms an angle of 90 degrees from Ganesh and an angle of 120 degrees from Mahesh. Mahesh is just opposite Parveen and is sitting on the left of Ganesh. 

Ganesh is sitting ________ of Parveen.",to the left,two places right,to the right,three places left,three places left,2
499,"""Seven friends Kiran, Mahesh, Rajesh, Abhi, Ganesh, Prasad and Parveen are sitting in a circle. Kiran, Mahesh, Rajesh, Abhi, Prasad and Parveen are sitting at equal distances from each other. Rajesh is sitting after two places right of Prasad, who is sitting one place right of Abhi. Kiran forms an angle of 90 degrees from Ganesh and an angle of 120 degrees from Mahesh. Mahesh is just opposite Parveen and is sitting on the left of Ganesh. 

The angle between Ganesh and Mahesh in the clockwise direction is ?",30 degree,210 degree,180 degree,90 degree,30 degree,2
500,"Seven friends Kiran, Mahesh, Rajesh, Abhi, Ganesh, Prasad and Parveen are sitting in a circle. Kiran, Mahesh, Rajesh, Abhi, Prasad and Parveen are sitting at equal distances from each other. Rajesh is sitting after two places right of Prasad, who is sitting one place right of Abhi. Kiran forms an angle of 90 degrees from Ganesh and an angle of 120 degrees from Mahesh. Mahesh is just opposite Parveen and is sitting on the left of Ganesh. 

Which of the following statements is not correct ?",Prasad is between Mahesh and Kiran,Mahesh is two places away from Parveen,Ganesh is sitting opposite Prasad,All of Above,All of Above,2
501,What number replaces the question mark?,10,9,11,13,13,2
502,What number replaces the question mark?,102,121,120,None of the above,121,2
503,What number replaces the question mark?,11,9,7,8,8,2
504,What number replaces the question mark?,4,3,2,1,2,2
505,What number replaces the question mark?,12,11,13,15,13,2
506,What number replaces the question mark?,45,55,65,70,65,2
507,What number replaces the question mark?,14,12,15,16,12,2
508,What number replaces the question mark?,60,61,63,62,63,2
509,What number replaces the question mark?,74,75,76,77,75,2
510,What number replaces the question mark?,19,362,361,363,361,2
511,"A. Eleven students, A, B, C, D, E, F, G, H, I, J and K, are sitting in the first row of the class facing the teacher.

B. D who is to the immediate left of F is second to the right of C.

C. A is the second to the right of E, who is at one of the ends.

D. J is the immediate neighbour of A and B and third to the left of G.

E. H is to the immediate left of D and third to the right of I.


Who is sitting in the middle of the row ?",B,C,I,G,I,2
512,"A. Eleven students, A, B, C, D, E, F, G, H, I, J and K, are sitting in the first row of the class facing the teacher.

B. D who is to the immediate left of F is second to the right of C.

C. A is the second to the right of E, who is at one of the ends.

D. J is the immediate neighbour of A and B and third to the left of G.

E. H is to the immediate left of D and third to the right of I.


Which of the following statements is true in the context of the above sitting arrangements ?",There are three students sitting between D and G,K is between A and J,B is sitting between J and I,G and C are neighbours sitting to the immediate right of H,B is sitting between J and I,2
513,"""A. Eleven students, A, B, C, D, E, F, G, H, I, J and K, are sitting in the first row of the class facing the teacher.

B. D who is to the immediate left of F is second to the right of C.

C. A is the second to the right of E, who is at one of the ends.

D. J is the immediate neighbour of A and B and third to the left of G.

E. H is to the immediate left of D and third to the right of I.


Which of the following group is sitting to the right of G ?",CHDE,CHDF,IBJA,ICHDF,CHDF,2
514,"""A. Eleven students, A, B, C, D, E, F, G, H, I, J and K, are sitting in the first row of the class facing the teacher.

B. D who is to the immediate left of F is second to the right of C.

C. A is the second to the right of E, who is at one of the ends.

D. J is the immediate neighbour of A and B and third to the left of G.

E. H is to the immediate left of D and third to the right of I.


In the above sitting arrangement, which of the following statements is superfluous ?",A,D,B,None of the above,None of the above,2
515,"A. Eleven students, A, B, C, D, E, F, G, H, I, J and K, are sitting in the first row of the class facing the teacher.

B. D who is to the immediate left of F is second to the right of C.

C. A is the second to the right of E, who is at one of the ends.

D. J is the immediate neighbour of A and B and third to the left of G.

E. H is to the immediate left of D and third to the right of I.


If E and D, C and B, A and H and K and F interchange their positions, which of the following pairs of students is sitting at the ends ?",D and E,D and K,D and A,K and F,D and K,2
516,"(i). Eight persons E, F, G, H, I, J, K and L are seated around a square table -- two on each side.

(ii). There are three lady members and they are not seated next to each other.

(iii). J is between L and F.

(iv). G is between I and F.

(v). H, a lady member, is second to the left of J.

(vi). F, a member is second is seated opposite E, a lady member.

(vii). There is a lady member between F and I.


Who among the following is to the immediate left of F ?",G,J,H,I,J,2
517,"(i). Eight persons E, F, G, H, I, J, K and L are seated around a square table -- two on each side.

(ii). There are three lady members and they are not seated next to each other.

(iii). J is between L and F.

(iv). G is between I and F.

(v). H, a lady member, is second to the left of J.

(vi). F, a member is second is seated opposite E, a lady member.

(vii). There is a lady member between F and I.


What is true about J and K ?","J is female, K is male","J is male, K is female",Both are female,Both are male,Both are male,2
518,"(i). Eight persons E, F, G, H, I, J, K and L are seated around a square table -- two on each side.

(ii). There are three lady members and they are not seated next to each other.

(iii). J is between L and F.

(iv). G is between I and F.

(v). H, a lady member, is second to the left of J.

(vi). F, a member is second is seated opposite E, a lady member.

(vii). There is a lady member between F and I.


How many persons are seated between K and F ?",1,2,3,4,2,2
519,"(i). Eight persons E, F, G, H, I, J, K and L are seated around a square table -- two on each side.

(ii). There are three lady members and they are not seated next to each other.

(iii). J is between L and F.

(iv). G is between I and F.

(v). H, a lady member, is second to the left of J.

(vi). F, a member is second is seated opposite E, a lady member.

(vii). There is a lady member between F and I.


Who among the following are three lady members ?","C, H and J","E, F and G","E, H and G","E, H and J","E, H and G",2
520,"(i). Eight persons E, F, G, H, I, J, K and L are seated around a square table -- two on each side.

(ii). There are three lady members and they are not seated next to each other.

(iii). J is between L and F.

(iv). G is between I and F.

(v). H, a lady member, is second to the left of J.

(vi). F, a member is second is seated opposite E, a lady member.

(vii). There is a lady member between F and I.


Who among the following is seated between E and H ?",I,F,K,None of the above,K,2
521,"1. A, B, C, D, E, F and G are sitting in a row facing north.

2. C is immediate right of G

3. The person who is fourth to the right of c, is on one of the ends.

4. Only one person between B and C

5. G and D are not neighbors.


What is the position of B?",Between E and C,At the right end,At the left end,Fifth to the right of C,At the left end,2
522,"""1. A, B, C, D, E, F and G are sitting in a row facing north.

2. C is immediate right of G

3. The person who is fourth to the right of c, is on one of the ends.

4. Only one person between B and C

5. G and D are not neighbors.


What is the left of D?",G,A,E,F,F,2
523,"1. A, B, C, D, E, F and G are sitting in a row facing north.

2. C is immediate right of G

3. The person who is fourth to the right of c, is on one of the ends.

4. Only one person between B and C

5. G and D are not neighbors.


What are the neighbors of E?",C and A,B and C,B and D,B and F,B and C,2
524,"1. A, B, C, D, E, F and G are sitting in a row facing north.

2. C is immediate right of G

3. The person who is fourth to the right of c, is on one of the ends.

4. Only one person between B and C

5. G and D are not neighbors.


Who is the right of G?",C,D,F,E,F,2
525,"1. A, B, C, D, E, F and G are sitting in a row facing north.

2. C is immediate right of G

3. The person who is fourth to the right of c, is on one of the ends.

4. Only one person between B and C

5. G and D are not neighbors.


Which following statement is false?",F is left of D,F is right of G,B and C neighbors of E,B is at the right end,B is at the right end,2
526,In a certain code IMTITJU is written as TMIIUJT. How is TEMREMP written in that code?,METERPM,METRPME,ETRMMEP,MTERPME,METRPME,2
527,In a certain code 'INACTIVE' is written as VITCANIE. How is 'COMPUTER' written in that code?,UTEPMOCR,MOCPETUR,ETUPMOCR,PMOCRETU,ETUPMOCR,2
528,In a certain code STUDENT is written as TUTDNES. How will SOURCES be written in that code?,SOURCES,SUORECS,SRUOCES,SOURSEC,SUORECS,2
529,In a certain code LEARNING is written as LGNINRAE. How will SURPRISE be written in that code?,ESRIPRUS,RUSEPSIR,SESIRPRU,ESIRPRSU,SESIRPRU,2
530,"If PRIVATE is coded as 1234567 and RISK is coded as 2398, how is RIVETS coded?",232679,243769,234769,234976,234769,2
531,"In a certain code, SIKKIM is written as THLJJL, how is TRAINING written in that code ?",SBQHOHOF,UQBOHIOF,UBQHOHOI,UQBHOHOF,UQBHOHOF,2
532,"In a certain code, TRIPPLE is written as SQHOOKD. How is DISPOSE written in that code ?",CHRONRD,EJTQPTG,CHRPNRD,EJTQPTF,CHRONRD,2
533,"If JOSEPH is coded as FKOALD, then GEORGE will be coded as :",HAKNCA,CBKNCA,CALNCA,CAKNCA,CAKNCA,2
534,"In a certain language, MADRAS is coded as NBESBT, how is BOMBAY coded in that code ?",DPNCBX,CPNCBZ,DPNCBX,DPNCBZ,CPNCBZ,2
535,"If TAP is coded as SZO, then how is FREEZE coded ?",EQDDZD,ATSSTS,EQDDYD,ESDDYD,EQDDYD,2
536,In a certain code MTUXTRVN is written as NUVXTQUM. How will ASUMNJKL be written in that code?,BTVMNIJK,BTVMNKLM,BTVNMIJK,ZRTMNIJK,BTVMNIJK,2
537,"In a certain code SENSITIVE is written as QHLVGWGYC. How will MICROSOFT be written in
that code?",KGAPMQMDT,OKETQUQHV,KLAUMVMIR,LKBTNUNHS,OKETQUQHV,2
538,In a certain code ABHIJIT is written as CEJLLLV. How will BROTHER be written in that code?,ETRVKGU,DUQWJHT,DURWJIT,EUQWKHT,DUQWJHT,2
539,In a certain code COMPUTER is written as RFUVQNPC. How will MEDICINE be written in that code?,ETRVKGU,DUQWJHT,DURWJIT,None of the above,DURWJIT,2
540,In a certain code HANGER is written as TDIMCG. How is KURESH be written in that code?,JRGQWJ,LVSFTI,MSTGUJ,MVTFUI,JRGQWJ,2
541,"In a certain code, MENTION is written as LNEITNO. How is PATTERN written in that code ?",OTAETNR,ATAETNR,STAETNR,OTAESNR,OTAETNR,2
542,"In a certain code, TOGETHER is written as RQEGRJCT. In the same code, PAROLE will be written as?",RYPQJG,NCPQJG,RCPQJG,NCPQJC,NCPQJG,2
543,"If COMPLETED is coded as MOCELPDET, then DIRECTION will be coded as :",RIETCENOI,RIDTCENOI,RIDTCENOJ,SIDTCENOI,RIDTCENOI,2
544,"If FRIEND is coded as HUMJTK, how is CANDLE written in that code ?",FYOBOC,EDRIRL,DCQHQK,DEQJQM,EDRIRL,2
545,"If COOL is coded as DQRP, then write the code for HOT",IQW,JQW,IQX,IPW,IQW,2
546,"In a code language 'Sh Me Ya' means 'Rock Then Young' and 'Me Yo Na Ya' means 'Wise Young Sharp
Rock'. Which code represents 'Then' in the given code language?",Ya,Me,Sh,Cannot be determined,Sh,2
